"V1","V2","V3","V4","V5"
"113","18to34","white","above_poor","manhattan","Not_disabled"
"114","18to34","white","above_poor","manhattan","Not_disabled"
"115","18to34","white","above_poor","manhattan","Not_disabled"
"116","18to34","white","above_poor","brooklyn","Not_disabled"
"117","18to34","white","above_poor","brooklyn","Not_disabled"
"118","18to34","white","above_poor","brooklyn","Not_disabled"
"119","18to34","white","above_poor","brooklyn","Not_disabled"
"120","18to34","white","above_poor","brooklyn","Not_disabled"
"121","18to34","white","above_poor","brooklyn","Not_disabled"
"122","18to34","white","above_poor","brooklyn","Not_disabled"
"123","18to34","white","above_poor","brooklyn","Not_disabled"
"124","18to34","white","above_poor","brooklyn","Not_disabled"
"125","18to34","white","above_poor","brooklyn","Not_disabled"
"126","18to34","white","above_poor","brooklyn","Not_disabled"
"127","18to34","white","above_poor","brooklyn","Not_disabled"
"128","18to34","white","above_poor","brooklyn","Not_disabled"
"129","18to34","white","above_poor","brooklyn","Not_disabled"
"130","18to34","white","above_poor","brooklyn","Not_disabled"
"131","18to34","white","above_poor","brooklyn","Not_disabled"
"132","18to34","white","above_poor","brooklyn","Not_disabled"
"133","18to34","white","above_poor","brooklyn","Not_disabled"
"134","18to34","white","above_poor","brooklyn","Not_disabled"
"135","18to34","white","above_poor","brooklyn","Not_disabled"
"136","18to34","white","above_poor","brooklyn","Not_disabled"
"137","18to34","white","above_poor","brooklyn","Not_disabled"
"138","18to34","white","above_poor","brooklyn","Not_disabled"
"139","18to34","white","above_poor","brooklyn","Not_disabled"
"140","18to34","white","above_poor","brooklyn","Not_disabled"
"141","18to34","white","above_poor","brooklyn","Not_disabled"
"142","18to34","white","above_poor","brooklyn","Not_disabled"
"143","18to34","white","above_poor","brooklyn","Not_disabled"
"144","18to34","white","above_poor","brooklyn","Not_disabled"
"145","18to34","white","above_poor","brooklyn","Not_disabled"
"146","18to34","white","above_poor","brooklyn","Not_disabled"
"147","18to34","white","above_poor","brooklyn","Not_disabled"
"148","18to34","white","above_poor","brooklyn","Not_disabled"
"149","18to34","white","above_poor","brooklyn","Not_disabled"
"150","18to34","white","above_poor","brooklyn","Not_disabled"
"151","18to34","white","above_poor","brooklyn","Not_disabled"
"152","18to34","white","above_poor","brooklyn","Not_disabled"
"153","18to34","white","above_poor","brooklyn","Not_disabled"
"154","18to34","white","above_poor","brooklyn","Not_disabled"
"155","18to34","white","above_poor","brooklyn","Not_disabled"
"156","18to34","white","above_poor","brooklyn","Not_disabled"
"157","18to34","white","above_poor","brooklyn","Not_disabled"
"158","18to34","white","above_poor","brooklyn","Not_disabled"
"159","18to34","white","above_poor","brooklyn","Not_disabled"
"160","18to34","white","above_poor","brooklyn","Not_disabled"
"161","18to34","white","above_poor","brooklyn","Not_disabled"
"162","18to34","white","above_poor","brooklyn","Not_disabled"
"163","18to34","white","above_poor","brooklyn","Not_disabled"
"164","18to34","white","above_poor","brooklyn","Not_disabled"
"165","18to34","white","above_poor","brooklyn","Not_disabled"
"166","18to34","white","above_poor","brooklyn","Not_disabled"
"167","18to34","white","above_poor","brooklyn","Not_disabled"
"168","18to34","white","above_poor","brooklyn","Not_disabled"
"169","18to34","white","above_poor","brooklyn","Not_disabled"
"170","18to34","white","above_poor","brooklyn","Not_disabled"
"171","18to34","white","above_poor","brooklyn","Not_disabled"
"172","18to34","white","above_poor","brooklyn","Not_disabled"
"173","18to34","white","above_poor","brooklyn","Not_disabled"
"174","18to34","white","above_poor","brooklyn","Not_disabled"
"175","18to34","white","above_poor","brooklyn","Not_disabled"
"176","18to34","white","above_poor","brooklyn","Not_disabled"
"177","18to34","white","above_poor","brooklyn","Not_disabled"
"178","18to34","white","above_poor","brooklyn","Not_disabled"
"179","18to34","white","above_poor","brooklyn","Not_disabled"
"180","18to34","white","above_poor","brooklyn","Not_disabled"
"181","18to34","white","above_poor","brooklyn","Not_disabled"
"182","18to34","white","above_poor","brooklyn","Not_disabled"
"183","18to34","white","above_poor","brooklyn","Not_disabled"
"184","18to34","white","above_poor","brooklyn","Not_disabled"
"185","18to34","white","above_poor","brooklyn","Not_disabled"
"186","18to34","white","above_poor","brooklyn","Not_disabled"
"187","18to34","white","above_poor","brooklyn","Not_disabled"
"188","18to34","white","above_poor","brooklyn","Not_disabled"
"189","18to34","white","above_poor","brooklyn","Not_disabled"
"190","18to34","white","above_poor","brooklyn","Not_disabled"
"191","18to34","white","above_poor","brooklyn","Not_disabled"
"192","18to34","white","above_poor","brooklyn","Not_disabled"
"193","18to34","white","above_poor","brooklyn","Not_disabled"
"194","18to34","black","above_poor","brooklyn","Not_disabled"
"195","35to44","black","above_poor","brooklyn","Not_disabled"
"196","35to44","black","above_poor","brooklyn","Not_disabled"
"197","35to44","black","above_poor","brooklyn","Not_disabled"
"198","35to44","black","above_poor","brooklyn","Not_disabled"
"199","35to44","black","above_poor","brooklyn","Not_disabled"
"200","35to44","black","above_poor","brooklyn","Not_disabled"
"201","35to44","black","above_poor","brooklyn","Not_disabled"
"202","35to44","black","above_poor","brooklyn","Not_disabled"
"203","35to44","black","above_poor","brooklyn","Not_disabled"
"204","35to44","black","above_poor","brooklyn","Not_disabled"
"205","35to44","black","above_poor","brooklyn","Not_disabled"
"206","35to44","black","above_poor","brooklyn","Not_disabled"
"207","35to44","black","above_poor","brooklyn","Not_disabled"
"208","35to44","black","above_poor","brooklyn","Not_disabled"
"209","35to44","black","above_poor","brooklyn","Not_disabled"
"210","35to44","black","above_poor","brooklyn","Not_disabled"
"211","35to44","black","above_poor","brooklyn","Not_disabled"
"212","35to44","black","above_poor","brooklyn","Not_disabled"
"213","35to44","black","above_poor","brooklyn","Not_disabled"
"214","35to44","black","above_poor","brooklyn","Not_disabled"
"215","35to44","black","above_poor","brooklyn","Not_disabled"
"216","35to44","black","above_poor","brooklyn","Not_disabled"
