age,race,income,borough,disability
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,white,above_poor,brooklyn,Not_disabled
18to34,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
